PC1,PC2,Cluster
-583.525912318483,6.181330203129043,0
678.1736803003323,-17.060455122903548,2
-1323.8290065727483,-6.320452226843479,1
-1014.6139030350118,8.616530615495401,1
1467.2033750472428,-14.938584650840829,2
-1323.8681134457809,-8.318175786124291,1
-511.5541329052704,-0.222422276580426,0
-1157.6847735274,-0.5764202871727218,1
-1244.8050076487436,-5.867330785164752,1
1213.2929322983928,-8.973701169071015,2
-1096.9021816699558,-3.7635927119402135,1
-364.81892272697417,-14.469017966247916,0
-1097.676695528868,-0.7507270135086124,1
2200.403465921345,34.238106415915944,2
-1266.2617885706934,-3.4492127367433643,1
-757.0289456741859,8.575228940062013,1
55.53363230194896,4.675094352076119,0
-1084.8356093327584,-8.99580573950779,1
-1067.0941584294724,-5.3479594662770165,1
2666.34558832019,8.574583920772087,3
-1279.778760634881,-4.184142402522844,1
-542.8806126354956,-16.596950611081883,0
-1086.9143015132631,4.035030288832159,1
-835.548866768548,9.111578325250557,1
-553.5175342124394,0.5982340360744836,0
-126.10550059666888,-5.004140773772157,0
-1311.850853766961,-7.553881652298057,1
-1315.8305357445463,-6.476830657386217,1
-906.7176537257628,5.507182104103025,1
-1323.8681134457809,-8.318175786124291,1
1676.7585543562004,7.075302639984868,2
-1069.897138901144,-12.285704779968455,1
-1256.7636055216758,-3.634964625607784,1
-1266.820353201805,-6.436018959435862,1
-1083.2823396549825,-2.0314801736311727,1
-772.6699876669937,-12.103014549351151,1
280.55586112173137,13.54472142502646,0
-944.3233751050716,-9.7453018958521,1
-769.5146434217835,-5.170012535769764,1
715.688699922463,-15.230096201549358,2
-1220.8487046230352,-8.334317319041729,1
233.9117479510637,11.1790522593757,0
-792.6242161649009,-8.717204347375286,1
478.3034292612704,45.37006900133648,2
-1323.8681134457809,-8.318175786124291,1
726.6813349149547,-6.891192628585616,2
466.9785059811213,0.3299003797411952,2
-1087.737268290731,-3.9428336814518343,1
-453.4624060373423,-0.3614387832452923,0
-298.4779026893523,19.592359365347377,0
-308.06334425876685,-11.198923966899432,0
-360.95625099142194,11.821035940394966,0
-440.9392785167646,-20.591233587835323,0
-1299.8531488975818,-7.78851750986849,1
625.6939100843592,-4.730143391736441,2
-832.4629775195003,-0.9412057900740294,1
-1168.7710902455374,3.637394291298344,1
-374.8440704536855,12.092638057677847,0
-825.2951803974595,-3.082045752198522,1
-1034.845172290621,-9.97345042615716,1
-644.454724183759,-6.616530841368375,0
-705.9387190110097,7.576076135094604,0
-1039.6034362324922,2.673993088330404,1
-1303.832830225547,-6.711433289051152,1
-1301.8527663758118,-7.749411533606751,1
-424.5449479461695,30.05177284967511,0
-1323.8681134457809,-8.318175786124291,1
48.5929555893847,1.8131030765856837,0
-1143.74611137262,-3.84674129879614,1
4423.511680337541,34.0277679829426,3
-1035.3450765881862,-9.96366999884664,1
-1323.8485600092647,-7.319314006483886,1
-1131.8070666346448,-7.077953517716523,1
-368.8756458612552,-1.0142570509078688,0
-1323.8681134457809,-8.318175786124291,1
-820.6905678969426,-4.169179399221474,1
223.11824095699785,1.3976963106560554,0
-1182.2329675763535,-1.0955600879857563,1
-1012.8987449199434,-4.409356036520124,1
-1142.7658565363088,-4.865179748245897,1
-1078.1022619225478,2.861274737037484,1
-806.1521964222376,1.5419665125282922,1
-965.654841286808,-4.331877682898131,1
-978.7538732390984,6.915981894749551,1
-477.7366167347244,-9.876981567978106,0
435.7986509929372,-12.754076839827944,2
1978.8912222489053,-52.92437513678786,2
-1058.517519835903,-1.5165499621608216,1
-772.941081253191,-2.107432458229193,1
-1231.7879406997222,-5.122663095552532,1
-1044.8823666987864,-11.775651970619446,1
438.0709973810765,-16.795504602585865,2
-1245.7657602136846,-3.85222433422164,1
671.3895138400399,5.443527924928212,2
-690.354615008035,-8.71660315589887,0
-1168.8195436546032,-7.353366281135195,1
-509.32840997507617,-14.257545631987949,0
-863.1484360519294,2.656622877988536,1
-504.446636253494,-20.34631409083905,0
-655.7092641263903,8.59006973496585,0
-896.8715663791482,-12.67176750811124,1
-557.1703264423951,-4.421780004442137,0
-1323.8681134457809,-8.318175786124291,1
1100.922275490399,-42.74887143800897,2
-587.6765219235309,-5.730602707204367,0
-685.073654006545,-6.821404911122283,0
-746.8220416177438,-11.609260517932906,1
-1242.824943463046,-6.905290674576728,1
661.1237505037443,-28.15240655316313,2
-467.83982269226726,2.919621875600061,0
-830.5684445163181,3.018720852713765,1
-744.6464433223873,-2.658616145396235,1
-1323.8485600092647,-7.319314006483886,1
-578.7181609091614,9.085022763047183,0
3280.0676447192927,-64.97396699396485,3
-283.91059630711106,-20.66234052770751,0
-1100.8716568348325,-10.68072310552314,1
-622.26764005808,-10.048170990800106,0
-690.8387171109345,8.280014275738784,0
-934.7665821033802,-6.936621800218628,1
1286.523274442121,-11.951684353723238,2
2899.48953696834,-34.61532591935754,3
-600.9171427955257,5.522191399903118,0
-1323.8681134457809,-8.318175786124291,1
1163.9187107361831,-18.000542642825202,2
-1110.8350640247672,1.5050959472979848,1
-802.5571365062387,2.4709009770524,1
-1203.773793061155,-4.673443842201851,1
